,user_a,user_b
268,Thì lên mấy cái nhóm game trên discord thôi <eos> Lúc người ta đánh đội thiếu người thì đăng tìm thêm trong nhóm <eos> Chơi thấy hợp thì kết bạn thôi,Ok vậy cứ chơi một trận đi rồi tao vào
269,Nghe nói mày mê tam quốc chí lắm phải không?,"Ừ, nhà ba đời fan tam quốc chí"
270,Tao mới tìm ra một bộ phim mới rất hay về Gia Cát Lượng mày muốn xem không?,Gì nay mày cũng coi phim về tam quốc nữa à
271,Cũng không hẳn là về tam quốc đâu <eos> Mà cuối cùng mày coi không thì tao gu,Rồi gửi đây coi
272,Paipiri Koumei - Khổng Minh thích tiệc tùng,WTF phim gì đây?
273,Đơn giản là Khổng Minh đến tương lai làm người đại diện cho ca sĩ <eos> Áp dụng các kế sách xưa vào để giúp ca sĩ,Nghe nó khá nhảm đấy
274,"Tin tao đi, cứ xem thử đi ",Nghe khá hay đấy khi nào rảnh thì xem thử
275,Sáng mai lên trường học nhóm ôn thi không?,Phương pháp tính chứ môn nào <eos> Đợt này học chung có môn đó thôi
276,Môn đó thì chịu vào học nghe chẳng hiểu gì,Không hiểu mới đi ôn thêm chứ <eos> Mời được một ông anh học qua môn này điểm khá cao chỉ bài <eos> Sao đi không? Không hiểu cũng cố học thuộc vài dạng toán chứ
277,Lên thư viên trường phải không?,Ừ khoảng ca 2 lên là ổn
278,Lùi qua ca 3 được không chứ ca 2 tao còn học,Vậy để nhắn hỏi anh kia trước <eos> OK thì tao nhắn lại cho <eos> Không thì ca 3 tao chỉ lại mày những gì hiểu được
279,Lễ này có kế hoạch gì chưa?,"Chưa, lễ này mày tính về quê à?"
280,"Không lễ này tao không tính về quê <eos> Tao có nhóm bạn đang tính đi Đà Lạt, mày tính đi chung không?",Mày đi với bạn mày kêu tao theo chi?
281,Không phải mày đang buồn vì 20 tuổi đầu chưa có mảnh tình à? <eos> Nhóm này có nhiều chị em còn độc thân đó,Sao mày không nói sớm?
282,Vậy cuối cùng có đi không?  <eos> Lên đây có có khi làm quen được với bạn nào,Đi chứ sao không
283,"Đi thì nhớ chuẩn bị tiền, đồ đạc <eos> Lên đó chia tiền phòng",
284,"Ê mày, tao mới tìm được một tiệm đồ nướng đang có giảm giá lớn đó <eos> Tối nay đi không?",Tối nay chắc không được rồi <eos> Tối nay tao có hẹn đi ăn với gia đình rồi
285,Vậy mai được không? Mốt là hết khuyến mãi rồi đó,Mai chắc là được đó
286,À mà mày bao tao bữa này nhé tối nay đi ăn là tao hết tiền rồi,Cũng được tao vừa nhận được lương tháng này <eos> Vậy mai tầm 6h đi nhé <eos> Tao sợ mai ngày giảm giá cuối rồi nó đông
287,OK đi sớm cũng được,
288,Nam ơi chiều qua sân quận 7 đánh cầu lông với tui nha.,"oke ông ơi, chiều mấy giờ á"
289,5 giờ tới 7 giờ được không ông <eos> đánh xong mình đi ăn luôn,"sớm hơn tí đi, 4 rưỡi tới 6 giờ được không <eos> đánh xong nghỉ ngơi nửa tiếng rồi đi ăn"
290,"hợp lý á, vậy chốt 4 rưỡi tới 6 giờ nha","oke, mà vợt ai người đó mang đúng không"
291,"tui mới mua bộ vợt mới toanh, để tôi mang vợt cho ông mang lốc cầu thôi là được rồi","oke ông, tui hiểu rồi, chiều gặp lại."
292,"Sếp mới giao nhiệm vụ xuống kìa, bà kiểm tra chưa","Vậy hả, để tui mở mail check thử <eos> Ủa bà ơi sao tui k có mail phân công, có khi nào sếp quên tui không ta"
293,"à, hôm nay sếp phân công thông qua ứng dụng quản lý công việc á, bà kiểm tra thử","trời ơi sao đùng cái sếp đổi công cụ vậy, bình thường vẫn thông báo qua mail nhóm mà"
294,"sếp có gửi mail thông báo về việc thay đổi công cụ đó bà, kiểm tra lại đi chứ nói bậy bạ sếp buồn","à đây rồi, sếp có gửi ngày hôm kia <eos> nhiều mail quá bị trôi mất tiêu hic"
295,"thôi nhận được việc rồi thì làm đi cho kịp tiến độ, tui làm luôn đây","ok ok, cảm ơn bà nhắc nhở nha <eos> chiều tan làm tui mời đi cà phê nha"
296,"bạn ơi tôi mới đi xem người nhện phần 3 về, bạn xem chưa",tôi cũng mới xem ngày hôm qua bạn
297,trời ơi phim hay xỉu,"hahaha, có cái khúc mà 3 người nhện xuất hiện á bạn, trong rạp hò hét kinh khủng luôn"
298,"trời ơi tính ra khúc đó là ăn tiền nhất phim mà, không hét sao được <eos> khúc ông andrew cứu MJ cũng cảm động nữa","đúng luôn bạn, không cứu được em ở vũ trụ này, anh cứu ở vũ trụ khác hahaha <eos> nghe nói hình như người nhện còn ra thêm phần nữa á bạn, tới lúc đó nhớ đi coi chung á"
299,"được luôn bạn, bạn bao là đi đâu tôi cũng đi mà <eos> nhưng mà chờ có phần mới cũng hơi lâu, có khi còn không có luôn á chớ","thôi kệ bạn, cứ chờ thôi, ra là coi hahaha"
300,Mai sáng tui bắt đầu làm,"Tui cuối tuần mới làm được, đi ship cả ngày "
301,Shipper hả ông <eos> Mưu sinh à?,Ừ <eos> Kiếm thêm thu nhập
302,Ưa thì cứ sắp xếp làm thôi <eos> Còn 1 tháng lận mà <eos> Quan trọng <eos> Là khúc trả lời câu hỏi,Ừm
303,Phần tui thì tui nắm rõ rồi diễn đạt không vấn đề <eos> Tui đang lo cho mấy ông hơn á,:)) <eos> Mà câu thứ 2 hỏi rộng ra mới sợ <eos> Chứ hỏi trúng chủ đề của mình thì sợ gì ông?
304,Ừ <eos> Phần đứa nào đọc không hiểu thì nhớ note kế bên nha,Oke ông <eos> Mà <eos> Nói chung tự tin lên đi có anh em hỗ trợ
305,Đương nhiên rồi,
306,Môn này cuối kì bao nhiêu % nhỉ?,0.5 <eos> Đó giờ vẫn vậy mà ông
307,Có môn cuối kỳ 70% nha,Môn nào vậy? <eos> Lần đầu nghe đó
308,Môn hệ thống thông tin doanh nghiệp gì á <eos> Bạn tui nó đang học,À môn đó tui chưa học qua
309,Cuối kì làm cái bài tập lớn thiế kế 70%,Nghe nói khó lắm
310,Khó như chó ấy,Yeah bạn tui có học qua review rồi <eos> Né hết mấy môn có liên quan đến doanh nghiệp <eos> Thôi coi như trải nghiệm đầu đời
311,Haha,
312,À mà mày còn chơi Liên quân không?,Còn <eos> Mới chơi lại
313,Tao cũng mới chơi lại <eos> Lạ lẫm vãi <eos> Nick ít tướng nữa chứ khổ vl,Nick tao sắp full tướng rồi <eos> Nick cũ mày đâu
314,Cho rồi <eos> Vô làm một ván,Thôi tao đi ngủ <eos> Mai còn đi làm
315,Chán thế,
316,Cái khó là mình phải làm 100% tiếng anh,Đâu ra vụ này vậy?
317,Mình thấy mấy khóa trước nó làm Tiếng Anh,Thầy có yêu cầu đâu <eos> Với lại <eos> Khóa trước vẫn có bài tiếng Việt mà
318,Ok vậy thì làm tiếng Việt <eos> Nhưng là phải dịch cái template,Template chỗ nào để tiếng Anh được thì để nguyên <eos> Ý là mấy cái file doc á <eos> Tạm thời trước mắt cứ như vậy đã
319,Oke,
320,Trên Sài Gòn có mưa không bro? <eos> Chiều tối chỗ em đều mưa bro à,Có mưa <eos> Mất điện nữa <eos> Mới có điện lại <eos> Không là đi ăn bún đậu rồi
321,Giờ đi ăn luôn đi <eos> Hay order rồi ship về trọ ăn,"Thôi, tốn tiền <eos> Với lại nấu rồi"
322,Nấu gì vậy?,Cơm
323,Gì nữa? <eos> Đồ ăn cùng cơm <eos> Kể,Thịt chó
324,Xạo chó,Haha
325,Ăn rồi nghỉ ngơi đi nhé <eos> Em lát chắc làm tí bài tập đây,Oke bro
326,Bạn thường xem những loại phim nào?,Tôi rất thích xem thể loại phim kinh dị.
327,Kinh dị sao? Bạn cho tôi một ví dụ được không?,Zodiac là một trong những phim mà tôi yêu thích. <eos> Zodiac là phim nói về một kẻ giết người hàng loạt ở những 70.
328,Zodiac? Bạn thích điểm gì về bộ phim đó?,Phim đó cho tôi cảm giác như mình là một phần của thế giới và thời đại đó.
329,Bạn cảm thấy như là một phần của thế giới đó à?,"Đúng vậy, nó rất là hấp dẫn."
330,"Nếu như bạn là một nhân vật trong phim, bạn nghĩ bạn sẽ là ai trong đó?","Có vẻ là nhân vật chính, Robert Graysmith, chỉ vì anh ta khó xử và vụng về. <eos> Vì vậy mà tôi đoán đó là người mà tôi cảm thấy gần gũi nhất."
331,"Xin chào, Hà, tôi lâu lắm rồi không gặp cậu. <eos> Cậu khỏe không?","Mình khỏe, cảm ơn. <eos> Cậu thì sao?"
332,Mình rất tốt. <eos> Trông cậu gầy hơn lần cuối mình gặp đấy.,Cậu nói đúng.  <eos> Nhưng nó khiến mình thấy khỏe khoắn.
333,"Rất vui khi nghe vậy.  <eos> Cậu giữ gìn sức khỏe nhé, Hà.","Cậu cũng vậy, Huy."
334,Thật tuyệt khi đi biển vào cuối tuần này.,Thời tiết sẽ như thế nào nhỉ? Tôi có thể muốn đi quá.
335,Thời tiết được cho là ấm áp cuối tuần này.,Vậy thời tiết trên bãi biển sẽ tốt đúng không?
336,Tôi nghĩ vậy.,Sẽ không tốt nếu trời trở lạnh hơn vào cuối tuần này.
337,"Tôi rất mong chờ chuyến đi này, tôi hy vọng nó sẽ ấm áp.","Thời tiết ở Cát Bà rất không chắc chắn, không thể biết chuyện gì sẽ xảy ra."
338,Tôi biết. Mỗi ngày thời tiết có vẻ đều khác nhau.,Tôi sẽ thích nó nếu nó không luôn khó đoán như vậy. <eos> Điều đó sẽ giúp chúng tôi dễ dàng hơn trong việc lập kế hoạch.
339,Tôi biết. Mọi thứ sẽ dễ dàng hơn khi bạn biết thời tiết sẽ như thế nào.,
340,Sở thích của cậu là gì?,"À, tớ thích âm nhạc và nấu ăn. Còn cậu thì sao?"
341,Tớ cũng thích âm nhạc. <eos> Tớ còn rất thích tiểu thuyết nữa.,Thật thú vị! <eos> Mình cũng đã từng sưu tầm tiểu thuyết đấy.
342,Thật sao?,"Ừ, Bạn thích cuốn tiểu thuyết nào."
343,Tôi thích tiểu thuyết Black Mass. <eos> Bạn biết nó chứ?,"Tất nhiên, nó đã được nguyển thể thành phim."
344,Cậu có muốn xem cùng tôi không?,Hay quá
345,"John, bạn đã xem thời sự ngày hôm nay chưa?","Chưa, có chuyện gì xảy ra không?"
346,Có một trận động đất lớn ở San Diego.,Ôi! Chúa ơi!
347,Tổng thống có nói về tin tức này trước đó,Có ai bị thương không?
348,Họ nói có hai người bị giết.,"Ôi, thật là tồi tệ."
349,"Vâng, tin không tin bạn chưa từng nghe về nó đấy. <eos> Nó đã nói trên CNN cả ngày.","Ồ, tôi không xem TV thường xuyên."
350,Vậy là bạn không xem thời sự?,"Không, tôi thường đọc tin tức trên mạng, nhưng tôi không có thời gian để bật máy tính của mình ngày hôm nay."
351,Môn thể thao yêu thích của bạn là gì?,Tôi thích bóng rổ.  <eos> Tôi xem các trận đấu trên TV mọi lúc
352,Ai là đội yêu thích của bạn?,Boson Celtics.
353,Họ có thực sự tốt trong năm nay không?,Vâng. Bạn có thích họ không?
354,Vâng. Mọi người ở đây cũng vậy. <eos> Bạn có nghĩ rằng họ sẽ giành chức vô địch năm nay không?,Cũng có thể. Họ có một số cầu thủ thực sự giỏi.
355,Bạn đã xem trận đấu tối qua?,"Một chút, không phải toàn bộ. Tôi đã xem nửa sau và tôi thấy một số điểm nổi bật trên mạng."
356,"Đó là một trò chơi tuyệt vời, phải không?",Vâng. Bạn có biết ai là người họ chơi tối mai không?
357,Tôi nghĩ họ chơi với LA.,Đó sẽ là một trận đấu khó khăn. LA có một đội ngũ tốt.
358,"Dorothy, kế hoạch Giáng sinh của bạn là gì vậy?","À vâng, sắp đến Giáng sinh rồi phải không? <eos> Tôi không chắc chắn tôi làm những gì?"
359,"Chà, nếu bạn không có kế hoạch, gia đình bạn có thể ăn tối tại nhà tôi.","Bạn thật tốt, cảm ơn nhé.  <eos> Bạn đã mua sắm xong chưa?"
360,"Chưa, tôi vẫn phải làm điều đó. ",Tôi nghĩ rằng tôi sẽ đi đến trung tâm mua sắm vào cuối tuần này. <eos> Sẽ rất đông tại trung tâm mua sắm. Bạn nên mua sắm trực tuyến.
361,"Bạn đúng đấy. Gia đình tôi rất thích đọc sách, vì vậy tôi có thể nhận được tất cả những món quà từ Amazon.com.",Bạn nghĩ gì bạn sẽ tặng gì cho vợ của bạn?
362,Có lẽ là một cuốn tiểu thuyết lãng mạn.  <eos> Có vẻ như cô ấy luôn đọc một trong những thứ đó.,"Bạn có thể nghĩ rằng bạn nên mua cho cô ấy thứ gì đó đắt hơn một chút, như đồ trang sức hoặc có thể là một máy tính mới?"
363,Có lẽ bạn nói đúng.  <eos> Rất khó mua quà tặng. <eos> Tôi nghĩ rằng vợ tôi có tất cả mọi thứ.  <eos> Có lẽ tôi chỉ nên hỏi cô ấy.,
364,"Này John, tôi có thể nói chuyện với bạn một phút được không?",Có chuyện gì thế?
365,Tôi muốn cho bạn biết về một câu lạc bộ sách mà tôi đã tham gia vài tháng trước.  <eos> Tôi biết bạn đã đọc rất nhiều nên tôi nghĩ bạn có thể muốn đi cùng tôi vào tháng tới.,"Ồ, nghe có vẻ vui. <eos> Khi nào nhóm gặp nhau?"
366,Thường là thứ bảy cuối cùng của tháng lúc 9:30 tối. Có quá muộn không?,"Không, tôi nghĩ rằng sẽ ổn.  <eos> Bạn nói gì trong nhóm?"
367,"Chà, mỗi tháng chúng tôi chọn một cuốn sách mới và sau đó trong cuộc họp tiếp theo, hãy đọc nó.",Bây giờ bạn đang đọc sách gì vậy?
368,Người thả diều,Tôi đã nghe nói về cuốn sách ấy. Nó như thế nào?
369,Nó là một cuốn sách hay. Tôi gần như đã đọc hết.  <eos> Cuốn sách kể về một cậu bé lớn lên ở Afghanistan trong những năm 1980. Nó gọi là Người thả diều vì nhân vật chính tham gia một cuộc thi thả diều.,Nghe thật hấp dẫn. Tôi rất muốn đến.
370,"Tuyệt. Cuộc họp tiếp theo sẽ diễn ra trong hai tuần nữa, vì vậy bạn vẫn có thời gian để đọc sách.",
371,Bạn có muốn du lịch với tớ không?,"Tất nhiên rồi, nhưng chúng ta sẽ đi đâu?"
372,"Một chuyến du lịch tại Đà Lạt, bạn nghĩ sao?","oh tuyệt vời, mình rất thích đi Đà Lạt <eos> Khi nào chúng ta sẽ đi?"
373,"Chúng ta sẽ đi vào khoảng tháng 6, thời tiết lúc đó rất đẹp",Mình cần phải chuẩn bị bao nhiêu tiền để đến đó?
374,Tớ nghĩ khoảng 5 triệu là đủ rồi <eos> Mình sẽ đi bằng xe khách tới đó ,"Okay, để mình tìm một homestay nào đó thật đẹp và đặt trước "
375,"Nghe hay đấy, có gì mình sẽ liên lạc cho cậu sau",
376,"Tớ có 2 vé xem phim, cuối tuần bạn có rảnh không?","Xem phim, nghe hay á, cuối tuần này mình rảnh <eos> Mà bạn tính xem phim gì?"
377,"Mình đi xem phim Doctor Strange, bạn thích không?",Mình cực kì thích phim của Marvel <eos> Mình sẽ đi vào lúc mấy giờ?
378,"Phim sẽ bắt đầu chiếu vào lúc 17 h, ở rap lotte cinema Quận 7 <eos> Mình sẽ qua đón bạn lúc  bốn rưỡi","Tuyệt vời, khi nào qua gọi tớ"
379,Tớ sẽ liên lạc cho cậu sau,
380,Thời tiết Sài Gòn lúc nào cũng nóng nực khó chịu bực mình quá,"Do bạn không phải người ở đây, nên chưa quen á mà"
381,"Sống trên Đà Lạt mười mấy năm rồi, tớ đã quen với khí hậu trên đó ","Tớ thích Đà Lạt lắm, kể cho tớ nghe một vài thứ ở Đà Lạt đi"
382,"À thì khí hậu trên đó mát mẻ, thu hút nhiều khách du lịch tới  <eos> Ở đó có nhiều địa điểm du lịch, khu vui chơi <eos> Đặc biệt có nhiều vườn hoa, nhiều trái cây ngon","Nghe thích thật, có dịp cậu dẫn tớ đến đó nhe"
383,"Khi nào cậu rảnh, tớ sẽ dẫn cậu đi một vòng quanh Đà Lạt",
384,Bạn đã xem thời sự ngày hôm nay chưa?,"Chưa, có tin gì nóng không?"
385,Có một trận động đất lớn ở San Diego,Ôi điều đó thật tệ <eos> Chính phủ có báo trước cho người dân để họ phòng tránh không?
386,"TV không nói về điều đó, nhưng có rất nhiều người bị thương do động đất ",Tội nghiệp cho người dân ở đó 
387,Bạn thích môn thể thao nào?,Tớ rất thích môn đá bóng
388,Bạn có thường xuyên đá bóng với bạn bè không?,Tớ hay đá bóng vào những ngày cuối tuần <eos> Ngoài ra tớ cũng có tham gia câu lạc bộ đá bóng ở trường nữa 
389,"Thật tuyệt, tớ cũng rất thích đá bóng  <eos> Khi nào đi đá cậu rủ tớ tham gia được không?","Được á, tớ sẽ mời cậu tham gia, chơi chung cho vui"
390,Công việc mong muốn của bạn là gì?,Tôi hiện tại đang là một giáo viên Tiếng Anh
391,Bạn cảm thấy thế nào về công việc mình đang làm?,"Mọi người nghĩ trở thành giáo viên rất dễ và cũng rất nhàm chán <eos> Bản thân tui thấy nghề này rất hay và ý nghĩa  <eos> Giúp người khác học, tiếp cần nhiều về Tiếng Anh, giúp họ có công việc tốt sau này"
392,Nghề nào cũng có ý nghĩa của riêng nó <eos> Bạn hãy cố gắng theo đuổi đam mê thì chắc chắn sẽ thành công,
393,"Chào bạn, mình có thể giúp đỡ nhau trong học kì này nha <eos> Mình tên An, rất vui được làm quen với bạn","Ừ, chào bạn, mình tên Minh "
394,Bạn sống gần đây à?,"Mình sống ở Lâm Đồng, mình đang trọ bên Quận 7 <eos> Còn bạn thì sao?"
395,"Mình sống ở TP từ nhỏ rồi, hiện đang bên quận 5",từ đó đến trường có xa không?
396,Mình đi nửa tiếng là tới ,"Tiện ghê, tính ra cũng gần đây"
397,"Chào bạn, không biết bạn tên gì?","Chào nha, Mình tên Hiếu thế còn bạn?"
398,Mình tên là Minh,Thế minh học trường nào thế?
399,Mình học Đại học Nguyễn Tất Thành,à vậy mình cũng học gần trường của bạn đấy
400,vậy hả? Thế bạn học trường gì?,Mình học Đại học Tôn Đức Thắng
401,Uầy thế thì gần thật. Hân hạnh được làm quen,Mình cũng thế. Hân hạnh được làm quen
402,Chào ông nha. Tui thấy ông mặc đồ thể dục TDTU không biết phải bạn học TDTU không?,Đúng rồi ông tui học TDTU
403,À tui có vấn đề này cần hỏi á. Không biết gần đây có rạp chiếu phim nào ko,Có chứ ngay Lotte Mark á có rạp chiếu ở Tầng 3 á
404,À cảm ơn ông nha. Tại đang muốn đi xem Dr Strange 2 á ông có thích xem không,À có Tui mê Strange cực luôn mà vẫn chưa có dịp đi xem.
405,Không sao thế giờ ông có rảnh không đi xem với tui. Hiện tại tui cũng đi xem 1 mình mà ở đây lạ quá,À cũng được hôm nay thứ mấy nhỉ
406,À nay thứ 5 hình như các rạp giá vé được giảm 1 nửa á,Uầy thế thì tốt quá thế tui với ông đi xem đi tui nghe nói bộ đấy hay cực luôn
407,Ừm tui cũng nghe bạn bè nói về bộ đấy hay lắm không được bỏ lỡ.,Thế không biết ngoài thích xem phim ra bạn còn có sở thích gì không nhỉ
408,"Mình á? Ngoài xem phim còn đọc sách nè, nghe nhạc và đặc biệt là thích chơi game luôn",Game. Bạn thích chơi game gì tại tui cũng hay chơi game lắm có thể gọi là nghiện luôn
409,"Game tui chơi nhiều lắm như ROV, LMHT, vài game mobile nữa",Tui có chơi LMHT á có dịp b cứ tìm tên như này để kết bạn chơi cùng nhá
410,Oke luôn được thế thì hay quá.,Cũng tiện là tui cũng ít có bạn chơi cùng lắm nên nhớ kết bạn với tui nha
411,bạn đã có người yêu chưa ? ,mình có người yêu rồi
412,bạn và người yêu đã quen được bao lâu rồi ? ,Mình với người yêu quen cũng được 2 năm rồi
413,hai người có đang sống với nhau không ?,Không tụi mình ở trọ nhưng 2 nơi khác nhau vì 2 đứa học khác trường á
414,bạn đã gặp người yêu như thế nào ?,Thì người yêu mình là bạn thân hồi năm cấp 3 đến giờ á
415,bao lâu thì cậu hẹn hò với người yêu ?,Quen tầm 1 năm thì mình với người yêu mới hẹn hò
416,Lần cuối bạn có người yêu là khi nào?,Hình như là 3 tháng trước mình vừa chia tay người yêu quen tầm 1 năm
417,Bạn có crush ai không không? ,Có chứ Mình crush bạn kia kìa bạn đấy là bạn thân của tui luôn mà không dám nói kkk
418,bạn có thể nói crush bạn là ai không?,Tất nhiên là không rồi
419,Bạn có muốn đi đâu chơi với người yêu không?,Nhiều nơi luôn là đằng khác
420,Hè này bạn có định đi đâu chơi không?,Mình á có mình định đi vũng tàu chơi 1 chuyến vì lâu rồi chưa ra đấy
421,Vũng tàu á mình cũng thích đi lắm nhưng chưa có dịp,Thế hè này bạn có bận không đi cùng mình cho vui
422,Mà thế bất tiện lắm\,Khong sao dù gì tụi mình đi đông lắm kiểu gì cũng còn trống xe
423,Trống xe? Các bạn đi bằng xe máy à,Đúng rồi du lịch đi xe máy mới vui chứ đi xe khách chán lắm
424,Được thế thì hay quá mình cũng muốn trải nghiệm thử 1 lần,Đúng rồi đời sinh viên không thử phí lắm. Thế hè này dự tính đầu tháng 7 là đi á
425,Đầu tháng 7 á? Để xem hình như mình bận về quê thăm ông ở tận đà lạt lận,Thế tiếc quá tụi tui xác định là đầu tháng 7 đi định rủ đông đông đi cho vui mà bạn bận rồi chắt k đi được
426,Ừm tiếc thật thế hẹn các bạn vào dịp khác nhá,Ừm dịp khác vậy thế tháng 8 tụi tui có dịp đi Đà lạt thay đổi không khí bạn đi không?
427,Tháng 8 á được chứ tháng 8 tui rảnh không có làm gì hết,Vậy chốt nhá tháng 8 này chúng ta đi 1 chuyến đà lạt nha 
428,Oke luôn,
429,Mai bạn đi xem phim với mình không?,Oke mà mấy giờ đi vậy
430,6h tối ok không?,ừ cũng được
431,Bạn thích đi coi ở lotte hay cresent mall nè?,Lotte đi cho gần
432,Tui qua chở bạn nha,Ok luôn mà tren đường đi ghé mua bắp rang luôn
433,Chi vậy?,Tại đồ ăn trong rạp bán giá cao lắm
434,À tùy bạn,Ok chốt nhá 6h tối mai
435,Ok luôn nè,
436,Ê chiều nay học xong làm ván game không ?,Ok chiều nay tui rảnh nè
437,Bạn muốn chơi game gì nè?,game gì cũng được
438,Giới hạn thể loại đi để tui tìm game chơi,Vậy game bắn súng đi
439,Chơi đột kích ha?,Ok mà chơi trên điện thoại hay máy tính
440,Bạn thích cái nào hơn?,Mình thích chơi trên điện thoại
441,Ok luôn tải game đi chiều chơi,Ừa tui tải liền
442,Chiều nay bạn rảnh không?,Học xong là mình rảnh á
443,Đi đá banh với tụi tui không nè?,Chắc được mà đá sân mấy người vậy?
444,Sân 7 người nè,ok mà bạn có dư đôi giày thể thao nào không cho tui mượn với
445,ừ cũng còn dư một đôi,ok cám ơn nha do giày tui mới bị rách
446,"không có chi, nhớ đến đúng giờ nha",Yên tâm không cần lo tui luôn đến sớm mà
447,haha vậy yên tâm rồi,
448,Ê tối đi ăn buffet không?,Để tui suy nghĩ
449,Nghĩ gì nữa đi ăn đi quán này mới mở mà ngon lắm?,Mới mở hả ở đâu vậy?
450,Đối diện trường mình luôn á,Bạn đi ăn chưa mà biết ngon?
451,Tui chưa đi nhưng nghe mấy đứa bạn đi rồi kể lại,Giá cả thế nào?
452,100k ăn thoải mái luôn,Hưm vậy tui tin bạn lần này đó
453,Ok nhất trí nhé gặp nhau tại cổng trường lúc 19h nha ,Ừa đồng ý luôn
454,Mai qua chung cư bên tui bơi không nè?,Bơi hả ừa cũng được
455,Bạn biết bơi chưa?,Tui cũng biết sơ sơ hà 
456,Thế thì qua tập bơi là hợp lí,Ừa cũng được tại kì này tui cũng có đăng kí học bơi ở trường
457,Vậy hả thế môn bơi yêu cầu bơi bao xa mới qua môn ?,"Trường tui quy định là nam phải bơi được 100m, nữ phải bơi được 50m mới qua môn"
458,Ui nghe khó thế,Tui thấy căng thẳng quá do tui chưa bơi tốt
459,Qua chung cư đi tui chỉ bạn bơi,Ừ trăm sự nhờ ông đấy 
460,nay đi coi phim không nè,đợi tí để tao kiểm tra lịch đã <eos> mà mày biết có phim gì hay không?
461,"Hmmm, giờ thì có phim Doctor Strange, hay lắm. <eos> Đi qua rạp Vivo City gần trường Tôn Đức Thắng tao học đi nè.","Ừa, mà mấy giờ được."
462,"Chắc cỡ 4 giờ chiều nay đó, qua rước tao nha.","Ừa,."
463,Hôm nay có đi tiết học gì không vậy An?,"Từ từ, để tao kiểm tra lại đã. <eos> Chiều nay có tiết Học máy, của thầy Cường. Chiều mày có đi học không?"
464,"Để coi, mà tao cũng hơi mệt nên cũng muốn nghỉ.","Haha, chắc tao cũng vậy."
465,Yasuo thôi nào. Haha,
466,"Èo, chán quá, cả năm nay tao chỉ ở nhà. <eos> Không biết hè này nên đi đâu nhỉ, được nghỉ 3 tháng.","Haha, thôi đi Đà Lạt nè cho mát. Lên đi chụp hình."
467,"Thôi, tao vừa xem trên Tiktok thấy Đà Lạt mưa với đông dữ lắm. <eos> Tao không đi Đà Lạt đâu!","Eo, mày khó tính thế! <eos> Thế còn Vũng Tàu thì sao?"
468,"Để coi đã, nếu mà đi thì bao giờ về được?","Tao không có tiết nào phải học hết, nên đi 3 ngày cuối tuần được không?"
469,"Ừa, nhưng mà phải về sớm vì thứ hai tao có ca học ở trường đấy!","Oke, no problem!"
470,"Đức Thắng ơi, nãy giờ mày ăn gì chưa?","Èo, tao mệt quá mày ạ. Chắc tí nữa đi ngủ."
471,"Haha, thôi đi ăn nè, tao vừa được mẹ gửi tiền lên, đi ăn đi tao bao.","Oke, thay đồ đi liền. Hehe."
472,"Hôm nay chán quá, mày có muốn đi đâu không Dương?","Tao đang làm bài tập trên trường, chưa xong nữa."
473,Vậy khoảng khi nào mày làm xong vậy?,"Để tao coi đã, chắc tầm 8 giờ tối nay."
474,"Uhm, vậy đi, tao chờ. Tối nay 8 giờ tao đón ở nhà mày nha.",Oke.
475,"Hôm nay chán quá, mày có muốn đi đâu không Dương?","Tao đang làm bài tập trên trường, chưa xong nữa."
476,Vậy khoảng khi nào mày làm xong vậy?,"Để tao coi đã, chắc tầm 8 giờ tối nay."
477,"Uhm, vậy đi, tao chờ. Tối nay 8 giờ tao đón ở nhà mày nha.",Ừa.
478,"Mày xuống đi, tao tới rồi nè.","Đợi tí, tao đang đi thang máy xuống."
479,"Lẹ chân lên, chậm chân thế. Dcm.","Từ từ, hối quá, tới rồi nè."
480,"Giờ đi qua Quận 1 phố đi bộ trước, rồi sau đó ghé qua Quận 4 ăn đồ chiên, mày thấy được không?","Ừa, mà có quán đồ chiên gì ngon ở Quận 4 vậy?"
481,"Ừa, chờ xíu đã, để tao coi lại có cái quán này ngon lắm.",Mày coi trên reviu.vn hay tiktok vậy?
482,Tao lưu video của mấy reviewer trên titkok.,"Uhm, vậy cũng được."
483,"Hi Dương, lâu rồi không gặp, dạo này mày ổn đấy chứ?","Haha, cũng 2 năm rồi nhỉ. Tao vẫn khoẻ. <eos> Mà giờ mày đang học ở đâu đấy?"
484,Tao đang học Thương mại điện tử ở Đại học kinh tế.,"Wow, giỏi vậy. Thế mày học về làm web hay phương thức tiếp cận khách hàng và tìm hiểu nhu cầu người sử dụng à?"
485,"Ồ không, tao học chuyên về nghiên cứu lĩnh vực thị trường và đưa ra ứng phẩm phù hợp cho người tiêu dùng. <eos> Còn mày nghe nói học ở trường Đại học Tôn Đức Thắng hả?","Đúng rồi, tao học Công nghệ thông tin. Mà học dốt lắm. Dcm giờ chưa ra trường nè."
486,"Haha, bố mày cũng vậy thôi. 🤣",Mày định làm trùm trường à. Góp gạch xây trường à?
487,"Haha, cũng cố lắm rồi. ",Mà giờ mày dự định làm ở đâu chưa?
488,"À, tao dự định làm cho bên Vinamilk, đang thực tập bên đó. Chắc sau này cũng làm ở đấy luôn.","Ừa, chúc may mắn nhé."
489,"Hi Dương, hôm nay chơi Liên minh không?","Vào solo Yasuo à, mày giỏi thì vô đây!"
